0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:18:29 -0700] "GET /MVCProject/ HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:18:29 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:18:29 -0700] "GET /MVCProject/app/appModule/wordCounter/word.component.js HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:18:29 -0700] "GET /MVCProject/app/appModule/word.service.js HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:18:29 -0700] "GET /MVCProject/css/app.css HTTP/1.1" 404 38
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:18:29 -0700] "GET /MVCProject/css/app.css HTTP/1.1" 404 38
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:18:29 -0700] "GET /MVCProject/app/appModule/wordCounter/word.component.html HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:18:29 -0700] "GET /MVCProject/rest/user/1/story HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:18:34 -0700] "POST /MVCProject/rest/user/1/story HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:18:34 -0700] "GET /MVCProject/rest/user/1/story HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:18:35 -0700] "POST /MVCProject/rest/user/1/story HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:18:35 -0700] "GET /MVCProject/rest/user/1/story HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:19:02 -0700] "POST /MVCProject/rest/user/1/story HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:19:02 -0700] "GET /MVCProject/rest/user/1/story HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:19:08 -0700] "GET /MVCProject/ HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:19:08 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:19:08 -0700] "GET /MVCProject/app/appModule/wordCounter/word.component.js HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:19:08 -0700] "GET /MVCProject/app/appModule/word.service.js HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:19:08 -0700] "GET /MVCProject/css/app.css HTTP/1.1" 404 38
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:19:08 -0700] "GET /MVCProject/css/app.css HTTP/1.1" 404 38
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:19:08 -0700] "GET /MVCProject/app/appModule/wordCounter/word.component.html HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:19:09 -0700] "GET /MVCProject/rest/user/1/story HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:19:58 -0700] "POST /MVCProject/rest/user/1/story HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:19:58 -0700] "GET /MVCProject/rest/user/1/story HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:20:01 -0700] "GET /MVCProject/ HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:20:01 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:20:01 -0700] "GET /MVCProject/app/appModule/wordCounter/word.component.js HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:20:01 -0700] "GET /MVCProject/app/appModule/word.service.js HTTP/1.1" 200 785
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:20:01 -0700] "GET /MVCProject/css/app.css HTTP/1.1" 404 38
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:20:02 -0700] "GET /MVCProject/css/app.css HTTP/1.1" 404 38
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:20:02 -0700] "GET /MVCProject/app/appModule/wordCounter/word.component.html HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:20:02 -0700] "GET /MVCProject/rest/user/1/story HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:20:22 -0700] "POST /MVCProject/rest/user/1/story HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:20:22 -0700] "GET /MVCProject/rest/user/1/story HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:20:27 -0700] "POST /MVCProject/rest/user/1/story HTTP/1.1" 405 -
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:23:08 -0700] "GET /MVCProject/ HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:23:08 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:23:08 -0700] "GET /MVCProject/app/appModule/wordCounter/word.component.js HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:23:08 -0700] "GET /MVCProject/app/appModule/word.service.js HTTP/1.1" 200 808
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:23:09 -0700] "GET /MVCProject/css/app.css HTTP/1.1" 404 38
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:23:09 -0700] "GET /MVCProject/css/app.css HTTP/1.1" 404 38
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:23:09 -0700] "GET /MVCProject/app/appModule/wordCounter/word.component.html HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:23:09 -0700] "GET /MVCProject/rest/user/1/story HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:23:14 -0700] "POST /MVCProject/rest/user/1/story HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:23:14 -0700] "GET /MVCProject/rest/user/1/story HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:23:56 -0700] "POST /MVCProject/rest/user/1/story HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:23:56 -0700] "GET /MVCProject/rest/user/1/story HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:24:05 -0700] "POST /MVCProject/rest/user/1/story HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:24:05 -0700] "GET /MVCProject/rest/user/1/story HTTP/1.1" 200 204
